head,k,oof_delta,oof_a_changes,oof_p_changes,nonneg_folds,min_fold,test_aflip,test_pflip,test_flips
action,2,-0.008324246612049736,2379,0,1,-0.01725171569206421,368,0,368
action,3,-0.002970959667730977,1612,0,2,-0.008563258705371958,274,0,274
action,4,-0.0008119092040140386,901,0,1,-0.0020021969886844238,175,0,175
point,2,-0.006737287013464022,0,4585,0,-0.008606183978763938,0,379,379
point,3,-0.0040462212697071846,0,3219,1,-0.007222373112851255,0,233,233
point,4,-0.0017459472144939815,0,2078,0,-0.0055295208767263794,0,110,110
both,2,-0.015061533625513757,2379,4585,0,-0.02465604504094108,368,379,747
both,3,-0.007017180937438161,1612,3219,1,-0.015785631818223213,274,233,507
both,4,-0.00255785641850802,901,2078,0,-0.007531717865410803,175,110,285
